Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11836,2025-10-18,ladies in black aachen,, ,1,jebens celine,10,2,5,8,-,1,-,-,.,.,28,2,3,9,32%,-
11836,2025-10-18,ladies in black aachen,, ,3,zander marit,1,-,1,1,-,-,-,-,.,.,1,-,-,1,100%,-
11836,2025-10-18,ladies in black aachen,, ,5,glaab corina,-,-,-1,9,1,-,-,-,.,.,1,-,-,-,0%,-
11836,2025-10-18,ladies in black aachen,, ,8,mavrommatis zoi,3,1,-5,2,1,-,15,5,20%,13%,16,1,1,3,19%,-
11836,2025-10-18,ladies in black aachen,, ,10,mico sindi,2,2,1,4,-,1,8,-,13%,0%,7,-,1,1,14%,-
11836,2025-10-18,ladies in black aachen,, ,11,ilieva tsvetelina,4,3,1,10,1,1,33,1,36%,9%,25,-,1,3,12%,-
11836,2025-10-18,ladies in black aachen,, ,13,freiynfeldova hanna,2,-,-1,1,-,-,-,-,.,.,6,3,-,2,33%,-
11836,2025-10-18,ladies in black aachen,, ,14,miljkovic milica,-,-,-,-,-,-,1,-,0%,0%,-,-,-,-,.,-
11836,2025-10-18,ladies in black aachen,, ,15,fallah sophia,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11836,2025-10-18,ladies in black aachen,, ,16,struka karmena,7,1,5,8,2,-,1,-,100%,0%,8,-,-,5,63%,2
11836,2025-10-18,ladies in black aachen,, ,17,jost kacey (l),-,-,-1,-,-,-,9,1,22%,11%,-,-,-,-,.,-
11836,2025-10-18,ladies in black aachen,, ,18,ambrosius lea,1,-,-1,6,-,-,-,-,.,.,5,2,-,1,20%,-
11836,2025-10-18,ladies in black aachen,, ,,totals,30,9,4,49,5,3,67,7,28%,9%,97,8,6,25,26%,2
