Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11839,2025-10-18,ssc palmberg schwerin,, ,2,frommann finnja (l),-,-,-,-,-,-,1,-,0%,0%,-,-,-,-,.,-
11839,2025-10-18,ssc palmberg schwerin,, ,3,reesink florien (l),-,-,-,-,-,-,4,-,75%,0%,-,-,-,-,.,-
11839,2025-10-18,ssc palmberg schwerin,, ,4,ten brinke marije,12,9,10,7,-,1,1,-,100%,0%,9,1,1,7,78%,4
11839,2025-10-18,ssc palmberg schwerin,, ,5,gerritsen suus trees,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11839,2025-10-18,ssc palmberg schwerin,, ,6,vos iris,10,6,6,14,-,2,12,1,42%,25%,16,2,1,8,50%,-
11839,2025-10-18,ssc palmberg schwerin,, ,8,stuut britte mayke,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11839,2025-10-18,ssc palmberg schwerin,, ,9,grozer leana,11,8,2,14,4,2,19,2,53%,32%,17,2,1,7,41%,2
11839,2025-10-18,ssc palmberg schwerin,, ,11,hölzig annegret,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11839,2025-10-18,ssc palmberg schwerin,, ,12,kohn hannah,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11839,2025-10-18,ssc palmberg schwerin,, ,13,van clewe luisa,9,6,8,8,1,2,-,-,.,.,9,-,-,5,56%,2
11839,2025-10-18,ssc palmberg schwerin,, ,15,kirchhoff mia,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11839,2025-10-18,ssc palmberg schwerin,, ,17,jaksetic vedrana,4,4,4,21,-,2,-,-,.,.,6,-,-,2,33%,-
11839,2025-10-18,ssc palmberg schwerin,, ,19,artyshuk anna,12,8,6,10,1,1,-,-,.,.,21,5,-,8,38%,3
11839,2025-10-18,ssc palmberg schwerin,, ,20,kok helena,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11839,2025-10-18,ssc palmberg schwerin,, ,,totals,58,41,36,74,6,10,37,3,51%,24%,78,10,3,37,47%,11
